battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-1045389_Li,Li0-0.5VS2,Li,"['V', 'S']",2,VS2,Li(VS2)2,0.14419198713998,1.86035062833333,113.046351273657,377.443275934391,210.30585062274,702.176835544736,0.0881858975,0.075092081666665,mp-dbypi,mp-chmnj,0.29950553760376764,10.0,2.9950553760376764
insertion,mp-1045397_Li,Li0-0.5NiS2,Li,"['Ni', 'S']",2,NiS2,Li(NiS2)2,0.066732362784468,1.89568345833333,106.107583760434,393.276943540913,201.146391338374,745.528596414402,0.043764471666666,0.063365857857143,mp-defhr,mp-chmlp,0.26980372356711907,10.0,2.698037235671191
insertion,mp-1045401_Li,Li0-0.5MnS2,Li,"['Mn', 'S']",2,MnS2,Li(MnS2)2,0.091171430142557,1.91296028833333,109.359390326382,370.845156943914,209.200170850713,709.412058354451,0.011561333333332,0.0,mp-dawjk,mp-chmlt,0.29489232440730334,10.0,2.9489232440730335
insertion,mp-1045514_Li,Li0-0.5CrO2,Li,"['Cr', 'O']",2,CrO2,LiCr2O4,0.025467479299231,3.88080245833333,153.211905195448,624.223697918,594.585138328428,2422.4888614301,0.16556981666665,0.114167529603172,mp-dbayy,mp-chmqc,0.2454439101021993,10.0,2.454439101021993
insertion,mp-1045896_Li,Li0-1Ni9O13,Li,"['Ni', 'O']",2,Ni9O13,LiNi9O13,0.004479075718492,4.71796531333334,36.0635441472289,198.105009256,170.146550362491,934.652562067392,0.199607824090908,0.144637906123177,mp-chneu,mp-cshup,0.18204256562046853,10.0,1.8204256562046852
insertion,mp-1072259_Li,Li0-1LuSn2,Li,"['Lu', 'Sn']",2,LuSn2,LiLuSn2,0.204026666473416,-0.268575361666665,63.9153148498642,482.360786854053,-17.1660788018411,-129.550222783144,0.0,0.188450872142856,mp-cjaet,mp-cjjqo,0.13250520480057792,10.0,1.3250520480057792
insertion,mp-1072865_Li,Li0-1HoSn2,Li,"['Ho', 'Sn']",2,HoSn2,LiHoSn2,0.193964653945478,-0.095044291666664,65.4826521739183,473.880414983431,-6.22375229232463,-45.0396283768052,0.0,0.137807519999998,mp-cjbcb,mp-cjmuq,0.1381839175105134,10.0,1.381839175105134
insertion,mp-1072922_Li,Li0-1TbSn2,Li,"['Tb', 'Sn']",2,TbSn2,LiTbSn2,0.182200737021693,0.018506648333333,66.457694750551,472.5114199943,1.22990918579246,8.74460268331851,0.0,0.099481007291666,mp-cjbeg,mp-cjjlj,0.14064780646222835,10.0,1.4064780646222834
insertion,mp-1077102_Li,Li0-1TmSn2,Li,"['Tm', 'Sn']",2,TmSn2,LiTmSn2,0.198767375032002,-0.198167651666667,64.8482743009866,479.285376796783,-12.8508302328624,-94.9788575979926,0.0,0.167563159107142,mp-cjhja,mp-cjlta,0.1353020088665928,10.0,1.353020088665928
insertion,mp-1077177_Li,Li0-1Mg2Ni,Li,"['Mg', 'Ni']",2,Mg2Ni,LiMg2Ni,0.101295877474939,0.613155693333332,234.597767114746,699.831004666696,143.844956549693,429.10536488257,0.21769566111111,0.010779779016203,mp-cjhlx,mp-cplnl,0.3352205969017854,10.0,3.352205969017854
insertion,mp-1078799_Li,Li1-3NbF6,Li,"['Nb', 'F']",2,LiNbF6,Li3NbF6,0.139549043241147,0.366518403333335,235.389994541712,672.118028914677,86.2747649600707,246.343626809356,0.0,0.366658335066662,mp-cjjwh,mp-clewo,0.35022121772542714,10.0,3.5022121772542714
